matrix_predction,TARGET_Condition_level,condition_model_nb_pred,TARGET_Criticality_Level,criticality_model_nb_pred,TARGET_Performance_Level,performance_model_nb_pred,MITIGATION_Level_PAN,mitigation_model_nb_pred
,3.9,,3.9,,3.0,,3.0,
,3.9,,3.9,,3.0,,3.0,
,3.9,,3.9,,3.0,,3.0,
,3.9,,3.9,,3.0,,3.0,
,3.0,,3.9,,3.0,,3.0,
,4.8,,3.9,,3.0,,3.0,
,3.9,,3.9,,3.0,,3.0,
,3.9,,3.9,,3.0,,3.0,
,3.9,,3.9,,3.0,,3.0,
,3.9,,3.9,,3.0,,3.0,
,3.9,,3.9,,3.0,,3.0,
,3.9,,3.9,,3.0,,3.0,
,3.9,,3.9,,3.0,,3.0,
,4.8,,3.9,,3.0,,3.0,
,3.9,,3.9,,3.0,,3.0,
,3.9,,3.9,,3.0,,3.0,
,3.9,,3.9,,3.0,,3.0,
,4.8,,3.9,,3.0,,3.0,
,4.8,,3.9,,3.0,,3.0,
,3.9,,3.9,,3.0,,3.0,
,4.8,,3.9,,3.0,,3.0,
,4.8,,3.9,,3.0,,3.0,
,4.8,,3.9,,3.0,,3.0,
,4.8,,3.9,,3.0,,3.0,
,4.8,,3.9,,3.0,,3.0,
,4.8,,3.9,,3.0,,3.0,
,4.8,,3.9,,3.0,,3.0,
,4.8,,3.9,,3.0,,3.0,
,3.9,,3.9,,3.0,,3.0,
,4.8,,3.9,,3.0,,3.0,
,3.9,,3.9,,3.0,,3.0,
,4.8,,3.9,,3.0,,3.0,
,3.9,,3.9,,2.0,,2.0,
,3.9,,3.9,,2.0,,2.0,
,3.9,,3.9,,3.0,,3.0,
,3.9,,3.9,,3.0,,3.0,
,3.9,,3.9,,3.0,,3.0,
,4.8,,3.9,,3.0,,3.0,
,4.8,,3.9,,3.0,,3.0,
,4.8,,3.9,,3.0,,3.0,
,3.9,,3.9,,3.0,,3.0,
,3.9,,3.9,,3.0,,3.0,
,3.9,,3.9,,3.0,,3.0,
,3.9,,3.9,,2.0,,2.0,
,3.9,,3.9,,3.0,,3.0,
,3.9,,3.9,,3.0,,3.0,
,4.8,,3.9,,2.0,,2.0,
,3.9,,3.9,,3.0,,3.0,
,4.8,,3.9,,3.0,,3.0,
,4.8,,3.9,,3.0,,3.0,
,4.8,,3.9,,3.0,,3.0,
,4.8,,3.9,,3.0,,3.0,
,3.9,,3.9,,3.0,,3.0,
,4.8,,3.9,,3.0,,3.0,
,4.8,,3.9,,3.0,,3.0,
,4.8,,0.8999999999999999,,2.0,,2.0,
,3.9,,3.9,,3.0,,3.0,
,3.9,,3.9,,3.0,,3.0,
,4.8,,3.9,,2.0,,2.0,
,4.8,,3.9,,3.0,,3.0,
,4.8,,3.9,,3.0,,3.0,
,4.8,,3.9,,3.0,,3.0,
,4.8,,3.9,,3.0,,3.0,
,4.8,,3.9,,3.0,,3.0,
,3.0,,3.9,,3.0,,2.0,
,3.9,,3.9,,3.0,,3.0,
,4.8,,3.9,,3.0,,3.0,
,3.9,,3.9,,3.0,,3.0,
,4.8,,3.9,,3.0,,3.0,
,4.8,,3.9,,3.0,,3.0,
,4.8,,3.9,,2.0,,2.0,
,4.8,,0.8999999999999999,,2.0,,2.0,
,3.9,,3.9,,3.0,,3.0,
,3.9,,3.9,,3.0,,3.0,
,4.8,,3.9,,3.0,,3.0,
,3.0,,3.9,,3.0,,2.0,
,3.9,,3.9,,3.0,,3.0,
,3.0,,3.9,,2.0,,2.0,
,3.9,,0.8999999999999999,,1.0,,1.0,
,3.0,,3.9,,2.0,,2.0,
,3.9,,3.9,,2.0,,2.0,
,3.9,,3.9,,2.0,,2.0,
,3.9,,3.9,,2.0,,2.0,
,1.7999999999999998,,0.8999999999999999,,1.0,,1.0,
,3.9,,0.8999999999999999,,1.0,,2.0,
,3.0,,0.8999999999999999,,1.0,,1.0,
,3.0,,0.8999999999999999,,1.0,,1.0,
,3.0,,3.9,,2.0,,3.0,
,3.0,,3.9,,2.0,,3.0,
,3.0,,3.9,,2.0,,2.0,
,3.9,,3.9,,2.0,,2.0,
,3.9,,3.9,,2.0,,2.0,
,4.8,,3.9,,2.0,,2.0,
,4.8,,3.9,,2.0,,2.0,
,4.8,,3.9,,3.0,,3.0,
,3.9,,3.9,,2.0,,2.0,
,3.9,,3.9,,2.0,,2.0,
,3.9,,3.9,,2.0,,2.0,
,3.0,,3.9,,2.0,,2.0,
,3.9,,0.8999999999999999,,1.0,,2.0,
,4.8,,3.9,,2.0,,2.0,
,4.8,,3.9,,2.0,,2.0,
,3.9,,0.8999999999999999,,1.0,,1.0,
,4.8,,3.9,,2.0,,3.0,
,4.8,,3.9,,2.0,,3.0,
,4.8,,3.9,,2.0,,3.0,
,4.8,,3.9,,2.0,,2.0,
,4.8,,3.9,,2.0,,2.0,
,4.8,,3.9,,2.0,,2.0,
,3.9,,0.8999999999999999,,1.0,,1.0,
,3.9,,3.9,,2.0,,3.0,
,3.9,,3.9,,2.0,,3.0,
,3.0,,3.9,,2.0,,3.0,
,3.0,,3.9,,2.0,,3.0,
,3.9,,3.9,,2.0,,2.0,
,3.9,,3.9,,2.0,,2.0,
,3.9,,3.9,,3.0,,3.0,
,3.9,,3.9,,2.0,,2.0,
,4.8,,3.9,,2.0,,2.0,
,4.8,,3.9,,2.0,,2.0,
,4.8,,3.9,,2.0,,2.0,
,3.9,,3.9,,2.0,,2.0,
,4.8,,3.9,,2.0,,2.0,
,4.8,,3.9,,2.0,,2.0,
,4.8,,3.9,,2.0,,2.0,
,4.8,,3.9,,2.0,,2.0,
,3.9,,3.9,,2.0,,2.0,
,4.8,,3.9,,2.0,,2.0,
,4.8,,3.9,,2.0,,2.0,
,4.8,,3.9,,2.0,,2.0,
,3.9,,3.9,,2.0,,2.0,
,4.8,,3.9,,2.0,,2.0,
,4.8,,3.9,,2.0,,2.0,
,4.8,,3.9,,2.0,,2.0,
,4.8,,3.9,,2.0,,2.0,
,3.9,,3.9,,2.0,,2.0,
,4.8,,3.9,,2.0,,2.0,
,4.8,,3.9,,2.0,,2.0,
,4.8,,3.9,,2.0,,2.0,
,4.8,,3.9,,2.0,,2.0,
,4.8,,3.9,,2.0,,2.0,
,4.8,,3.9,,2.0,,2.0,
,4.8,,3.9,,2.0,,2.0,
,4.8,,3.9,,2.0,,2.0,
,4.8,,3.9,,2.0,,2.0,
,3.9,,3.9,,2.0,,2.0,
,4.8,,3.9,,2.0,,2.0,
,4.8,,3.9,,2.0,,2.0,
,4.8,,3.9,,2.0,,2.0,
,4.8,,3.9,,2.0,,2.0,
,3.9,,3.9,,2.0,,2.0,
,4.8,,3.9,,2.0,,2.0,
,4.8,,3.9,,2.0,,2.0,
,4.8,,3.9,,2.0,,2.0,
,3.9,,0.8999999999999999,,2.0,,2.0,
,4.8,,3.9,,3.0,,3.0,
,4.8,,3.9,,3.0,,3.0,
,4.8,,3.9,,3.0,,3.0,
,4.8,,0.8999999999999999,,2.0,,2.0,
,4.8,,0.8999999999999999,,2.0,,2.0,
,3.9,,0.8999999999999999,,1.0,,1.0,
,3.9,,0.8999999999999999,,1.0,,2.0,
,3.9,,0.8999999999999999,,1.0,,2.0,
,3.9,,0.8999999999999999,,1.0,,2.0,
,3.9,,0.8999999999999999,,2.0,,2.0,
,3.9,,0.8999999999999999,,2.0,,2.0,
,3.9,,0.8999999999999999,,1.0,,2.0,
,3.9,,0.8999999999999999,,1.0,,2.0,
,3.9,,0.8999999999999999,,1.0,,2.0,
,3.9,,0.8999999999999999,,1.0,,2.0,
,3.9,,0.8999999999999999,,1.0,,2.0,
,3.9,,0.8999999999999999,,1.0,,1.0,
,4.8,,3.9,,2.0,,2.0,
,4.8,,0.8999999999999999,,2.0,,2.0,
,4.8,,0.8999999999999999,,1.0,,2.0,
,4.8,,0.8999999999999999,,2.0,,2.0,
,4.8,,0.8999999999999999,,2.0,,2.0,
,4.8,,0.8999999999999999,,2.0,,2.0,
,4.8,,0.8999999999999999,,2.0,,2.0,
,3.0,,0.8999999999999999,,1.0,,1.0,
,4.8,,0.8999999999999999,,2.0,,2.0,
,4.8,,0.8999999999999999,,1.0,,2.0,
,3.9,,0.8999999999999999,,1.0,,2.0,
,3.9,,0.8999999999999999,,1.0,,2.0,
,4.8,,3.9,,2.0,,2.0,
,4.8,,3.9,,2.0,,2.0,
,3.0,,0.8999999999999999,,1.0,,1.0,
,3.0,,0.8999999999999999,,1.0,,1.0,
,4.8,,0.8999999999999999,,2.0,,2.0,
,3.9,,0.8999999999999999,,2.0,,2.0,
,3.9,,0.8999999999999999,,1.0,,2.0,
,3.9,,0.8999999999999999,,1.0,,2.0,
,4.8,,0.8999999999999999,,1.0,,2.0,
,4.8,,0.8999999999999999,,1.0,,2.0,
,3.9,,3.9,,2.0,,2.0,
,3.9,,3.9,,2.0,,2.0,
,3.9,,3.9,,2.0,,2.0,
,3.9,,3.9,,2.0,,2.0,
,3.0,,0.8999999999999999,,1.0,,1.0,
,4.8,,0.8999999999999999,,1.0,,2.0,
,3.9,,3.9,,2.0,,2.0,
,3.9,,3.9,,2.0,,2.0,
,3.9,,3.9,,2.0,,2.0,
,3.9,,0.8999999999999999,,1.0,,2.0,
,3.0,,0.8999999999999999,,1.0,,1.0,
,3.9,,3.9,,2.0,,2.0,
,4.8,,0.8999999999999999,,1.0,,2.0,
,3.9,,0.8999999999999999,,1.0,,2.0,
,3.9,,0.8999999999999999,,2.0,,2.0,
,4.8,,0.8999999999999999,,1.0,,2.0,
,3.9,,0.8999999999999999,,1.0,,2.0,
,4.8,,0.8999999999999999,,1.0,,2.0,
,3.9,,3.9,,2.0,,2.0,
,3.9,,3.9,,2.0,,2.0,
,4.8,,0.8999999999999999,,1.0,,2.0,
,3.9,,0.8999999999999999,,1.0,,2.0,
,4.8,,3.0,,2.0,,2.0,
,3.9,,0.8999999999999999,,1.0,,1.0,
,4.8,,3.9,,2.0,,2.0,
,4.8,,3.9,,2.0,,2.0,
,3.9,,0.8999999999999999,,1.0,,1.0,
,3.9,,0.8999999999999999,,2.0,,2.0,
,3.9,,0.8999999999999999,,2.0,,2.0,
,4.8,,0.8999999999999999,,1.0,,2.0,
,3.9,,0.8999999999999999,,1.0,,2.0,
,3.9,,0.8999999999999999,,1.0,,2.0,
,3.9,,0.8999999999999999,,1.0,,2.0,
,3.9,,0.8999999999999999,,1.0,,2.0,
,3.9,,0.8999999999999999,,1.0,,2.0,
,4.8,,3.9,,2.0,,2.0,
,3.9,,3.9,,2.0,,2.0,
,3.9,,3.9,,2.0,,2.0,
,3.0,,0.8999999999999999,,1.0,,1.0,
,4.8,,0.8999999999999999,,1.0,,1.0,
,3.9,,0.8999999999999999,,1.0,,2.0,
,4.8,,0.8999999999999999,,1.0,,1.0,
,4.8,,3.9,,2.0,,2.0,
,4.8,,0.8999999999999999,,1.0,,2.0,
,3.9,,3.9,,2.0,,2.0,
,4.8,,3.9,,2.0,,2.0,
,3.9,,3.9,,2.0,,2.0,
,4.8,,3.9,,2.0,,2.0,
,4.8,,3.9,,2.0,,2.0,
,4.8,,0.8999999999999999,,1.0,,2.0,
,4.8,,0.8999999999999999,,1.0,,2.0,
,4.8,,3.9,,2.0,,2.0,
,4.8,,3.9,,2.0,,2.0,
,4.8,,3.9,,2.0,,2.0,
,3.9,,0.8999999999999999,,2.0,,2.0,
,3.9,,0.8999999999999999,,2.0,,2.0,
,3.9,,0.8999999999999999,,1.0,,2.0,
,3.9,,0.8999999999999999,,1.0,,2.0,
,4.8,,3.9,,2.0,,2.0,
,4.8,,3.9,,2.0,,2.0,
,4.8,,0.8999999999999999,,2.0,,2.0,
,4.8,,0.8999999999999999,,1.0,,1.0,
,4.8,,0.8999999999999999,,1.0,,1.0,
,4.8,,0.8999999999999999,,1.0,,1.0,
,4.8,,0.8999999999999999,,1.0,,1.0,
,3.9,,0.8999999999999999,,1.0,,1.0,
,4.8,,0.8999999999999999,,1.0,,1.0,
,4.8,,0.8999999999999999,,1.0,,1.0,
,4.8,,0.8999999999999999,,1.0,,1.0,
,4.8,,0.8999999999999999,,2.0,,2.0,
,4.8,,0.8999999999999999,,2.0,,2.0,
,4.8,,0.8999999999999999,,2.0,,2.0,
,3.9,,0.8999999999999999,,2.0,,2.0,
,4.8,,0.8999999999999999,,1.0,,1.0,
,3.9,,0.8999999999999999,,1.0,,1.0,
,4.8,,0.8999999999999999,,1.0,,1.0,
,4.8,,3.9,,2.0,,2.0,
,3.9,,3.9,,2.0,,2.0,
,3.9,,3.9,,2.0,,2.0,
,3.9,,3.9,,2.0,,2.0,
,3.9,,3.9,,2.0,,2.0,
,3.9,,0.8999999999999999,,2.0,,2.0,
,4.8,,0.8999999999999999,,2.0,,2.0,
,4.8,,0.8999999999999999,,2.0,,2.0,
,4.8,,0.8999999999999999,,1.0,,1.0,
,4.8,,0.8999999999999999,,1.0,,1.0,
,4.8,,0.8999999999999999,,1.0,,1.0,
,3.9,,0.8999999999999999,,1.0,,1.0,
,4.8,,0.8999999999999999,,1.0,,1.0,
,3.9,,0.8999999999999999,,2.0,,2.0,
,4.8,,0.8999999999999999,,2.0,,2.0,
,4.8,,0.8999999999999999,,2.0,,2.0,
,4.8,,0.8999999999999999,,1.0,,1.0,
,4.8,,0.8999999999999999,,2.0,,2.0,
,4.8,,0.8999999999999999,,2.0,,2.0,
,3.9,,0.8999999999999999,,2.0,,2.0,
,4.8,,0.8999999999999999,,2.0,,2.0,
,4.8,,0.8999999999999999,,2.0,,2.0,
,4.8,,0.8999999999999999,,2.0,,2.0,
,4.8,,0.8999999999999999,,1.0,,1.0,
,4.8,,0.8999999999999999,,1.0,,1.0,
,4.8,,3.9,,2.0,,2.0,
,3.9,,3.9,,2.0,,2.0,
,3.9,,3.9,,2.0,,2.0,
,3.9,,0.8999999999999999,,2.0,,2.0,
,4.8,,0.8999999999999999,,1.0,,1.0,
,4.8,,0.8999999999999999,,1.0,,1.0,
,4.8,,0.8999999999999999,,1.0,,1.0,
,4.8,,0.8999999999999999,,2.0,,2.0,
,4.8,,0.8999999999999999,,1.0,,1.0,
,3.0,,0.8999999999999999,,1.0,,2.0,
,4.8,,0.8999999999999999,,2.0,,2.0,
,3.9,,3.9,,2.0,,2.0,
,3.9,,0.8999999999999999,,1.0,,2.0,
,4.8,,0.8999999999999999,,1.0,,1.0,
,3.9,,3.9,,2.0,,2.0,
,3.9,,3.9,,2.0,,2.0,
,3.9,,3.9,,2.0,,2.0,
,3.9,,3.9,,2.0,,2.0,
,3.9,,3.9,,2.0,,2.0,
,4.8,,0.8999999999999999,,1.0,,1.0,
,4.8,,0.8999999999999999,,1.0,,1.0,
,3.9,,3.9,,2.0,,2.0,
,3.9,,3.9,,2.0,,2.0,
,3.9,,3.9,,2.0,,2.0,
,3.9,,3.9,,2.0,,2.0,
,3.9,,3.9,,2.0,,2.0,
,3.9,,3.9,,2.0,,2.0,
,3.9,,3.9,,2.0,,2.0,
,3.9,,3.9,,2.0,,2.0,
,3.9,,3.9,,2.0,,2.0,
,3.9,,3.9,,2.0,,2.0,
,3.9,,3.9,,2.0,,2.0,
,4.8,,0.8999999999999999,,1.0,,1.0,
,3.9,,3.9,,2.0,,2.0,
,3.9,,3.9,,2.0,,2.0,
,3.0,,3.9,,2.0,,2.0,
,4.8,,0.8999999999999999,,1.0,,1.0,
,4.8,,0.8999999999999999,,1.0,,1.0,
,4.8,,0.8999999999999999,,1.0,,1.0,
,4.8,,0.8999999999999999,,1.0,,1.0,
,3.9,,3.9,,2.0,,2.0,
,3.9,,3.9,,2.0,,2.0,
,3.9,,0.8999999999999999,,1.0,,1.0,
,4.8,,0.8999999999999999,,1.0,,1.0,
,4.8,,0.8999999999999999,,1.0,,1.0,
,4.8,,0.8999999999999999,,1.0,,1.0,
,3.9,,0.8999999999999999,,2.0,,2.0,
,3.9,,0.8999999999999999,,2.0,,2.0,
,3.9,,3.9,,2.0,,2.0,
,3.9,,0.8999999999999999,,1.0,,2.0,
,3.9,,3.9,,2.0,,2.0,
,3.9,,3.9,,2.0,,2.0,
,3.9,,3.9,,2.0,,2.0,
,3.9,,3.9,,2.0,,2.0,
,4.8,,0.8999999999999999,,1.0,,1.0,
,3.9,,3.9,,2.0,,2.0,
,3.9,,3.9,,2.0,,2.0,
,3.9,,3.9,,2.0,,2.0,
,3.9,,3.9,,2.0,,2.0,
,4.8,,0.8999999999999999,,1.0,,1.0,
,4.8,,3.9,,2.0,,2.0,
,3.9,,3.9,,2.0,,2.0,
,3.9,,3.9,,2.0,,2.0,
,3.9,,3.9,,2.0,,2.0,
,4.8,,0.8999999999999999,,2.0,,2.0,
,4.8,,0.8999999999999999,,1.0,,1.0,
,3.0,,0.8999999999999999,,1.0,,1.0,
,3.9,,0.8999999999999999,,1.0,,1.0,
,4.8,,3.9,,2.0,,2.0,
,4.8,,0.8999999999999999,,1.0,,1.0,
,4.8,,0.8999999999999999,,1.0,,1.0,
,3.9,,3.9,,2.0,,2.0,
,3.9,,3.9,,2.0,,2.0,
,3.9,,0.8999999999999999,,2.0,,2.0,
,3.9,,3.9,,2.0,,2.0,
,4.8,,0.8999999999999999,,2.0,,2.0,
,3.9,,0.8999999999999999,,1.0,,1.0,
,4.8,,3.9,,2.0,,2.0,
,4.8,,3.9,,2.0,,2.0,
,4.8,,3.9,,2.0,,2.0,
,4.8,,3.9,,2.0,,2.0,
,4.8,,3.9,,2.0,,2.0,
,4.8,,3.9,,2.0,,2.0,
,4.8,,0.8999999999999999,,2.0,,2.0,
,4.8,,0.8999999999999999,,2.0,,2.0,
,4.8,,0.8999999999999999,,2.0,,2.0,
,4.8,,0.8999999999999999,,1.0,,1.0,
,4.8,,3.9,,2.0,,2.0,
,3.9,,3.9,,2.0,,2.0,
,3.9,,3.9,,2.0,,2.0,
,4.8,,3.9,,2.0,,2.0,
,4.8,,3.9,,2.0,,2.0,
,4.8,,0.8999999999999999,,1.0,,1.0,
,4.8,,0.8999999999999999,,1.0,,1.0,
,4.8,,3.9,,2.0,,2.0,
,4.8,,3.9,,2.0,,2.0,
,4.8,,3.9,,2.0,,2.0,
,4.8,,3.9,,2.0,,2.0,
,4.8,,3.9,,2.0,,2.0,
,4.8,,3.9,,2.0,,2.0,
,4.8,,3.9,,2.0,,2.0,
,4.8,,3.9,,2.0,,2.0,
,4.8,,3.9,,2.0,,2.0,
,4.8,,3.9,,2.0,,2.0,
,4.8,,3.9,,2.0,,2.0,
,4.8,,3.9,,2.0,,2.0,
,4.8,,3.9,,2.0,,2.0,
,4.8,,3.9,,2.0,,2.0,
,4.8,,3.9,,2.0,,2.0,
,4.8,,3.9,,2.0,,2.0,
,3.9,,0.8999999999999999,,1.0,,2.0,
,3.9,,3.9,,2.0,,2.0,
,4.8,,3.0,,1.0,,1.0,
,4.8,,3.0,,1.0,,1.0,
,4.8,,3.9,,2.0,,2.0,
,4.8,,3.9,,2.0,,2.0,
,4.8,,0.8999999999999999,,2.0,,2.0,
,4.8,,0.8999999999999999,,2.0,,2.0,
,3.9,,3.9,,2.0,,2.0,
,3.9,,3.9,,2.0,,2.0,
,3.9,,0.8999999999999999,,2.0,,2.0,
,3.9,,0.8999999999999999,,2.0,,2.0,
,4.8,,0.8999999999999999,,1.0,,1.0,
,4.8,,0.8999999999999999,,1.0,,1.0,
,4.8,,0.8999999999999999,,1.0,,1.0,
,4.8,,0.8999999999999999,,1.0,,1.0,
,4.8,,0.8999999999999999,,1.0,,1.0,
,4.8,,0.8999999999999999,,1.0,,1.0,
,4.8,,0.8999999999999999,,2.0,,2.0,
,4.8,,0.8999999999999999,,1.0,,1.0,
,4.8,,0.8999999999999999,,1.0,,1.0,
,4.8,,0.8999999999999999,,1.0,,1.0,
,4.8,,0.8999999999999999,,1.0,,1.0,
,4.8,,3.9,,2.0,,2.0,
,4.8,,3.9,,2.0,,2.0,
,4.8,,0.8999999999999999,,1.0,,1.0,
,4.8,,0.8999999999999999,,1.0,,1.0,
,4.8,,0.8999999999999999,,1.0,,1.0,
,4.8,,0.8999999999999999,,1.0,,1.0,
,4.8,,0.8999999999999999,,1.0,,1.0,
,4.8,,0.8999999999999999,,1.0,,1.0,
,4.8,,0.8999999999999999,,1.0,,1.0,
,4.8,,0.8999999999999999,,1.0,,1.0,
,4.8,,0.8999999999999999,,1.0,,1.0,
,4.8,,0.8999999999999999,,1.0,,1.0,
,4.8,,0.8999999999999999,,1.0,,1.0,
,4.8,,0.8999999999999999,,1.0,,1.0,
,4.8,,0.8999999999999999,,1.0,,1.0,
,4.8,,0.8999999999999999,,1.0,,1.0,
,4.8,,0.8999999999999999,,1.0,,1.0,
,3.9,,0.8999999999999999,,1.0,,1.0,
,4.8,,0.8999999999999999,,1.0,,1.0,
,4.8,,0.8999999999999999,,1.0,,1.0,
,4.8,,0.8999999999999999,,1.0,,1.0,
,4.8,,0.8999999999999999,,1.0,,1.0,
,4.8,,0.8999999999999999,,1.0,,1.0,
,3.9,,0.8999999999999999,,1.0,,1.0,
,4.8,,0.8999999999999999,,1.0,,1.0,
,4.8,,0.8999999999999999,,1.0,,1.0,
,4.8,,0.8999999999999999,,1.0,,1.0,
,4.8,,0.8999999999999999,,1.0,,1.0,
,4.8,,0.8999999999999999,,1.0,,1.0,
,3.9,,0.8999999999999999,,1.0,,1.0,
,4.8,,0.8999999999999999,,1.0,,1.0,
,4.8,,0.8999999999999999,,1.0,,1.0,
,4.8,,0.8999999999999999,,1.0,,1.0,
,4.8,,0.8999999999999999,,1.0,,1.0,
,4.8,,0.8999999999999999,,1.0,,1.0,
,4.8,,0.8999999999999999,,1.0,,1.0,
,4.8,,0.8999999999999999,,1.0,,1.0,
,4.8,,0.8999999999999999,,1.0,,1.0,
,3.9,,0.8999999999999999,,1.0,,1.0,
,4.8,,0.8999999999999999,,1.0,,1.0,
,4.8,,0.8999999999999999,,1.0,,1.0,
,4.8,,0.8999999999999999,,1.0,,1.0,
,4.8,,0.8999999999999999,,1.0,,1.0,
,4.8,,3.9,,2.0,,2.0,
,4.8,,3.9,,2.0,,2.0,
,4.8,,3.9,,2.0,,2.0,
,4.8,,3.9,,2.0,,2.0,
,4.8,,3.9,,2.0,,2.0,
,4.8,,3.9,,2.0,,2.0,
,4.8,,3.9,,2.0,,2.0,
,4.8,,3.9,,2.0,,2.0,
,3.9,,3.9,,2.0,,2.0,
,4.8,,3.9,,2.0,,2.0,
,4.8,,3.9,,2.0,,2.0,
,4.8,,3.9,,2.0,,2.0,
,4.8,,3.9,,2.0,,2.0,
,4.8,,0.8999999999999999,,1.0,,1.0,
,4.8,,3.9,,2.0,,2.0,
,4.8,,0.8999999999999999,,1.0,,1.0,
,4.8,,0.8999999999999999,,1.0,,1.0,
,3.9,,3.9,,2.0,,2.0,
,3.0,,3.9,,2.0,,2.0,
,3.9,,3.9,,2.0,,2.0,
,3.9,,3.9,,2.0,,2.0,
,3.9,,3.9,,2.0,,2.0,
,3.9,,3.9,,2.0,,2.0,
,4.8,,3.9,,2.0,,2.0,
,3.9,,3.9,,2.0,,2.0,
,3.9,,3.9,,2.0,,2.0,
,4.8,,3.9,,2.0,,2.0,
,3.9,,0.8999999999999999,,2.0,,2.0,
,3.9,,0.8999999999999999,,2.0,,2.0,
,4.8,,0.8999999999999999,,2.0,,2.0,
,3.9,,0.8999999999999999,,1.0,,1.0,
,4.8,,0.8999999999999999,,1.0,,1.0,
,4.8,,0.8999999999999999,,1.0,,1.0,
,4.8,,0.8999999999999999,,1.0,,1.0,
,4.8,,3.9,,2.0,,2.0,
,4.8,,3.9,,2.0,,2.0,
,4.8,,3.9,,2.0,,2.0,
,4.8,,3.9,,2.0,,2.0,
,4.8,,3.9,,2.0,,2.0,
,4.8,,3.9,,2.0,,2.0,
,4.8,,3.9,,2.0,,2.0,
,4.8,,3.9,,2.0,,2.0,
,4.8,,3.9,,2.0,,2.0,
,4.8,,3.9,,2.0,,2.0,
,4.8,,0.8999999999999999,,1.0,,1.0,
,4.8,,0.8999999999999999,,1.0,,1.0,
,3.9,,0.8999999999999999,,2.0,,2.0,
,4.8,,0.8999999999999999,,2.0,,2.0,
,4.8,,3.9,,2.0,,2.0,
,4.8,,3.9,,2.0,,2.0,
,4.8,,3.9,,2.0,,2.0,
,4.8,,3.9,,2.0,,2.0,
,4.8,,3.9,,2.0,,2.0,
,4.8,,0.8999999999999999,,1.0,,1.0,
,3.9,,0.8999999999999999,,1.0,,1.0,
,4.8,,3.9,,2.0,,2.0,
,4.8,,3.9,,2.0,,2.0,
,4.8,,0.8999999999999999,,2.0,,2.0,
,4.8,,3.0,,2.0,,2.0,
,4.8,,3.0,,2.0,,2.0,
,4.8,,3.0,,2.0,,2.0,
,4.8,,3.0,,2.0,,2.0,
,4.8,,0.8999999999999999,,2.0,,2.0,
,4.8,,0.8999999999999999,,2.0,,2.0,
,4.8,,0.8999999999999999,,2.0,,2.0,
,4.8,,0.8999999999999999,,1.0,,1.0,
,4.8,,0.8999999999999999,,1.0,,1.0,
,3.9,,3.9,,2.0,,2.0,
,3.9,,3.9,,2.0,,2.0,
,3.9,,3.9,,2.0,,2.0,
,3.9,,3.9,,2.0,,2.0,
,4.8,,3.9,,2.0,,2.0,
,4.8,,3.9,,2.0,,2.0,
,4.8,,3.9,,2.0,,2.0,
,4.8,,3.9,,2.0,,2.0,
,4.8,,3.9,,2.0,,2.0,
,4.8,,3.9,,2.0,,2.0,
,4.8,,3.9,,2.0,,2.0,
,4.8,,3.9,,2.0,,2.0,
,4.8,,3.9,,2.0,,2.0,
,4.8,,3.9,,2.0,,2.0,
,4.8,,3.9,,2.0,,2.0,
,4.8,,3.9,,2.0,,2.0,
,4.8,,3.9,,2.0,,2.0,
,3.9,,3.9,,2.0,,2.0,
,3.9,,3.9,,2.0,,2.0,
,4.8,,3.9,,2.0,,2.0,
,4.8,,3.9,,2.0,,2.0,
,4.8,,3.9,,2.0,,2.0,
,4.8,,3.9,,2.0,,2.0,
,3.9,,3.9,,2.0,,2.0,
,3.9,,3.9,,2.0,,2.0,
,3.9,,3.9,,2.0,,2.0,
,4.8,,3.9,,2.0,,2.0,
,4.8,,3.9,,2.0,,2.0,
,4.8,,3.9,,2.0,,2.0,
,4.8,,3.9,,2.0,,2.0,
,4.8,,3.9,,2.0,,2.0,
,4.8,,3.9,,2.0,,2.0,
,4.8,,3.9,,2.0,,2.0,
,4.8,,3.9,,2.0,,2.0,
,4.8,,0.8999999999999999,,1.0,,1.0,
,4.8,,0.8999999999999999,,1.0,,1.0,
,3.9,,0.8999999999999999,,1.0,,1.0,
,3.9,,0.8999999999999999,,1.0,,1.0,
,4.8,,0.8999999999999999,,2.0,,2.0,
,4.8,,0.8999999999999999,,2.0,,2.0,
,4.8,,0.8999999999999999,,2.0,,2.0,
,3.9,,3.9,,2.0,,2.0,
,3.9,,3.9,,2.0,,2.0,
,3.9,,3.9,,2.0,,2.0,
,3.9,,3.9,,2.0,,2.0,
,3.9,,3.9,,2.0,,2.0,
,3.9,,3.9,,2.0,,2.0,
,3.9,,3.9,,2.0,,2.0,
,3.9,,3.9,,2.0,,2.0,
,3.9,,3.9,,2.0,,2.0,
,3.9,,0.8999999999999999,,1.0,,2.0,
,4.8,,3.9,,2.0,,2.0,
,4.8,,3.9,,2.0,,2.0,
,3.9,,3.9,,2.0,,2.0,
,3.9,,3.9,,2.0,,2.0,
,4.8,,0.8999999999999999,,2.0,,2.0,
,4.8,,0.8999999999999999,,2.0,,2.0,
,4.8,,3.9,,2.0,,2.0,
,3.9,,0.8999999999999999,,1.0,,1.0,
,4.8,,0.8999999999999999,,1.0,,1.0,
,4.8,,3.9,,2.0,,2.0,
,4.8,,3.9,,2.0,,2.0,
,3.9,,3.0,,2.0,,2.0,
,3.9,,3.0,,2.0,,2.0,
